Date,Close,High,Low,Open,Volume,Ticker,Daily Return,SMA_20,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,MSFT,MSFT,MSFT,MSFT,MSFT,TSLA,TSLA,TSLA,TSLA,TSLA,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2024-01-30,,,,,,TSLA,0.0034567835721344142,217.57250061035157,,,,,,191.58999633789062,196.36000061035156,190.61000061035156,195.3300018310547,109982300.0,,,,,,,,,,
2024-01-31,,,,,,TSLA,-0.02244377647032403,214.51600036621093,,,,,,187.2899932861328,193.97000122070312,185.85000610351562,187.0,103221400.0,,,,,,,,,,
2024-02-01,,,,,,TSLA,0.008382761388752824,212.0365005493164,,,,,,188.86000061035156,189.8800048828125,184.27999877929688,188.5,91843300.0,,,,,,,,,,
2024-02-02,,,,,,TSLA,-0.0050301649114266045,209.5355010986328,,,,,,187.91000366210938,188.69000244140625,182.0,185.0399932861328,110612700.0,,,,,,,,,,
2024-02-05,,,,,,TSLA,-0.03645365318513305,206.7140007019043,,,,,,181.05999755859375,184.67999267578125,175.00999450683594,184.25999450683594,134294400.0,,,,,,,,,,
2024-02-06,,,,,,TSLA,0.0223130928940527,203.94650115966797,,,,,,185.10000610351562,186.49000549316406,177.11000061035156,177.2100067138672,122676000.0,,,,,,,,,,
2024-02-07,,,,,,TSLA,0.01339813963135228,201.57750091552734,,,,,,187.5800018310547,189.7899932861328,182.67999267578125,188.17999267578125,111535200.0,,,,,,,,,,
2024-02-08,,,,,,TSLA,0.010555473441792307,199.3585006713867,,,,,,189.55999755859375,191.6199951171875,185.5800018310547,189.0,83034000.0,,,,,,,,,,
2024-02-09,,,,,,TSLA,0.021154303741671487,197.6760009765625,,,,,,193.57000732421875,194.1199951171875,189.47999572753906,190.17999267578125,84476300.0,,,,,,,,,,
2024-02-12,,,,,,TSLA,-0.028103539988478476,196.13800125122071,,,,,,188.1300048828125,194.72999572753906,187.27999877929688,192.11000061035156,95498600.0,,,,,,,,,,
2024-02-13,,,,,,TSLA,-0.021846598116614713,194.34350128173827,,,,,,184.02000427246094,187.25999450683594,182.11000061035156,183.99000549316406,86759500.0,,,,,,,,,,
2024-02-14,,,,,,TSLA,0.025486372853585015,193.00150146484376,,,,,,188.7100067138672,188.88999938964844,183.35000610351562,185.3000030517578,81203000.0,,,,,,,,,,
2024-02-15,,,,,,TSLA,0.06221180550417671,192.43000106811525,,,,,,200.4499969482422,200.8800048828125,188.86000061035156,189.16000366210938,120831800.0,,,,,,,,,,
2024-02-16,,,,,,TSLA,-0.0024943876658132247,191.81800079345703,,,,,,199.9499969482422,203.1699981689453,197.39999389648438,202.05999755859375,111346700.0,,,,,,,,,,
2024-02-20,,,,,,TSLA,-0.030957752117438453,191.06600036621094,,,,,,193.75999450683594,198.60000610351562,189.1300048828125,196.1300048828125,104545800.0,,,,,,,,,,
2024-02-21,,,,,,TSLA,0.00521268473502845,190.34750061035157,,,,,,194.77000427246094,199.44000244140625,191.9499969482422,193.36000061035156,103500300.0,,,,,,,,,,
2024-02-22,,,,,,TSLA,0.013554445406056326,189.8265007019043,,,,,,197.41000366210938,198.32000732421875,191.36000061035156,194.0,92739500.0,,,,,,,,,,
2024-02-23,,,,,,TSLA,-0.027556873210526134,190.29350051879882,,,,,,191.97000122070312,197.57000732421875,191.5,195.30999755859375,78841900.0,,,,,,,,,,
2024-02-26,,,,,,TSLA,0.03870392576202142,191.10100021362305,,,,,,199.39999389648438,201.77999877929688,192.0,192.2899932861328,111747100.0,,,,,,,,,,
2024-02-27,,,,,,TSLA,0.0016549741281637331,191.54100036621094,,,,,,199.72999572753906,205.60000610351562,198.25999450683594,204.0399932861328,108645400.0,,,,,,,,,,
2024-02-28,,,,,,TSLA,0.01156560160219966,192.06350021362306,,,,,,202.0399932861328,205.3000030517578,198.44000244140625,200.4199981689453,99806200.0,,,,,,,,,,
2024-02-29,,,,,,TSLA,-0.0007918650199801869,192.79300079345703,,,,,,201.8800048828125,205.27999877929688,198.4499969482422,204.17999267578125,85907000.0,,,,,,,,,,
2024-03-01,,,,,,TSLA,0.003764585340074067,193.48200073242188,,,,,,202.63999938964844,204.52000427246094,198.5,200.52000427246094,82243100.0,,,,,,,,,,
2024-03-04,,,,,,TSLA,-0.07155546804023882,193.49350051879884,,,,,,188.13999938964844,199.75,186.72000122070312,198.72999572753906,134334900.0,,,,,,,,,,
2024-03-05,,,,,,TSLA,-0.03933237971984138,193.47750091552734,,,,,,180.74000549316406,184.58999633789062,177.57000732421875,183.0500030517578,119660800.0,,,,,,,,,,
2024-03-06,,,,,,TSLA,-0.02323786698783792,193.04950027465821,,,,,,176.5399932861328,181.5800018310547,173.6999969482422,179.99000549316406,107920900.0,,,,,,,,,,
2024-03-07,,,,,,TSLA,0.011951969472048907,192.60299987792968,,,,,,178.64999389648438,180.0399932861328,173.6999969482422,174.35000610351562,102129000.0,,,,,,,,,,
2024-03-08,,,,,,TSLA,-0.018527834714126334,191.89199981689453,,,,,,175.33999633789062,182.72999572753906,174.6999969482422,181.5,85544600.0,,,,,,,,,,
2024-03-11,,,,,,TSLA,0.013858834181150304,191.10199966430665,,,,,,177.77000427246094,182.8699951171875,174.8000030517578,175.4499969482422,85391500.0,,,,,,,,,,
2024-03-12,,,,,,TSLA,-0.0012938683737420131,190.57249908447267,,,,,,177.5399932861328,179.42999267578125,172.41000366210938,177.77000427246094,87391700.0,,,,,,,,,,
2024-03-13,,,,,,TSLA,-0.04539820808488959,189.84549865722656,,,,,,169.47999572753906,176.0500030517578,169.14999389648438,173.0500030517578,106524500.0,,,,,,,,,,
2024-03-14,,,,,,TSLA,-0.04118477639544138,188.5349983215332,,,,,,162.5,171.1699981689453,160.50999450683594,167.77000427246094,126325700.0,,,,,,,,,,
2024-03-15,,,,,,TSLA,0.006584660456730784,186.69099884033204,,,,,,163.57000732421875,165.17999267578125,160.75999450683594,163.16000366210938,97146800.0,,,,,,,,,,
2024-03-18,,,,,,TSLA,0.06254200201423088,185.3834991455078,,,,,,173.8000030517578,174.72000122070312,165.89999389648438,170.02000427246094,108214400.0,,,,,,,,,,
2024-03-19,,,,,,TSLA,-0.014269250195585559,184.26149978637696,,,,,,171.32000732421875,172.82000732421875,167.4199981689453,172.36000061035156,77271400.0,,,,,,,,,,
2024-03-20,,,,,,TSLA,0.025332688257929448,183.30599975585938,,,,,,175.66000366210938,176.25,170.82000732421875,173.0,83846700.0,,,,,,,,,,
2024-03-21,,,,,,TSLA,-0.016167575308454918,182.07649993896484,,,,,,172.82000732421875,178.17999267578125,171.8000030517578,176.38999938964844,73178000.0,,,,,,,,,,
2024-03-22,,,,,,TSLA,-0.01151490226146512,181.0194999694824,,,,,,170.8300018310547,171.1999969482422,166.3000030517578,166.69000244140625,75580600.0,,,,,,,,,,
2024-03-25,,,,,,TSLA,0.010536808713131895,179.68100051879884,,,,,,172.6300048828125,175.24000549316406,168.72999572753906,168.75999450683594,74228600.0,,,,,,,,,,
2024-03-26,,,,,,TSLA,0.029195349264770964,178.57800064086913,,,,,,177.6699981689453,184.25,177.3800048828125,178.5800018310547,113186200.0,,,,,,,,,,
2024-03-27,,,,,,TSLA,0.012157391142962881,177.46750106811524,,,,,,179.8300018310547,181.91000366210938,176.0,181.41000366210938,81804000.0,,,,,,,,,,
2024-03-28,,,,,,TSLA,-0.022465709302040393,176.16300048828126,,,,,,175.7899932861328,179.57000732421875,175.3000030517578,177.4499969482422,77654800.0,,,,,,,,,,
2024-04-01,,,,,,TSLA,-0.003242460249155976,174.792000579834,,,,,,175.22000122070312,176.75,170.2100067138672,176.1699981689453,81562100.0,,,,,,,,,,
2024-04-02,,,,,,TSLA,-0.049024062767074494,173.71650085449218,,,,,,166.6300048828125,167.69000244140625,163.42999267578125,164.75,116650600.0,,,,,,,,,,
2024-04-03,,,,,,TSLA,0.01050231020055925,173.0985008239746,,,,,,168.3800048828125,168.82000732421875,163.27999877929688,164.02000427246094,82950100.0,,,,,,,,,,
2024-04-04,,,,,,TSLA,0.016213301154368365,172.82700119018554,,,,,,171.11000061035156,177.19000244140625,168.00999450683594,170.07000732421875,123162000.0,,,,,,,,,,
2024-04-05,,,,,,TSLA,-0.036292482565110196,172.13950119018554,,,,,,164.89999389648438,170.86000061035156,160.50999450683594,169.0800018310547,143157600.0,,,,,,,,,,
2024-04-08,,,,,,TSLA,0.04899940648952894,172.02150115966796,,,,,,172.97999572753906,174.5,167.7899932861328,169.33999633789062,104423300.0,,,,,,,,,,
2024-04-09,,,,,,TSLA,0.02254601255405486,171.97700119018555,,,,,,176.8800048828125,179.22000122070312,171.9199981689453,172.91000366210938,102951700.0,,,,,,,,,,
2024-04-10,,,,,,TSLA,-0.028946236061948905,171.6880012512207,,,,,,171.75999450683594,174.92999267578125,170.00999450683594,173.0399932861328,84532400.0,,,,,,,,,,
2024-04-11,,,,,,TSLA,0.01653476762638495,171.94400177001953,,,,,,174.60000610351562,175.8800048828125,168.50999450683594,172.5500030517578,94516000.0,,,,,,,,,,
2024-04-12,,,,,,TSLA,-0.020332204625772565,172.37150192260742,,,,,,171.0500030517578,173.80999755859375,170.36000061035156,172.33999633789062,64722700.0,,,,,,,,,,
2024-04-15,,,,,,TSLA,-0.05594859487563397,172.26700134277343,,,,,,161.47999572753906,170.69000244140625,161.3800048828125,170.24000549316406,100245300.0,,,,,,,,,,
2024-04-16,,,,,,TSLA,-0.027062145360474688,171.43250122070313,,,,,,157.11000061035156,158.19000244140625,153.75,156.74000549316406,97000000.0,,,,,,,,,,
2024-04-17,,,,,,TSLA,-0.010565868854054306,170.6390007019043,,,,,,155.4499969482422,158.3300018310547,153.77999877929688,157.63999938964844,82439700.0,,,,,,,,,,
2024-04-18,,,,,,TSLA,-0.03550983840996058,169.35250015258788,,,,,,149.92999267578125,152.1999969482422,148.6999969482422,151.25,96098800.0,,,,,,,,,,
2024-04-19,,,,,,TSLA,-0.0192088959161848,168.06399993896486,,,,,,147.0500030517578,150.94000244140625,146.22000122070312,148.97000122070312,87074500.0,,,,,,,,,,
2024-04-22,,,,,,TSLA,-0.03400203941675628,166.625,,,,,,142.0500030517578,144.44000244140625,138.8000030517578,140.55999755859375,107097600.0,,,,,,,,,,
2024-04-23,,,,,,TSLA,0.018514534090260826,165.22749938964844,,,,,,144.67999267578125,147.25999450683594,141.11000061035156,143.3300018310547,124545100.0,,,,,,,,,,
2024-04-24,,,,,,TSLA,0.12061109407252757,164.45049972534179,,,,,,162.1300048828125,167.97000122070312,157.50999450683594,162.83999633789062,181178000.0,,,,,,,,,,
2024-04-25,,,,,,TSLA,0.04965143743002587,163.96799926757814,,,,,,170.17999267578125,170.8800048828125,158.36000061035156,158.9600067138672,126427500.0,,,,,,,,,,
2024-04-26,,,,,,TSLA,-0.011105884774887609,163.59299926757814,,,,,,168.2899932861328,172.1199951171875,166.3699951171875,168.85000610351562,109815700.0,,,,,,,,,,
2024-04-29,,,,,,TSLA,0.1530691710339953,164.53449935913085,,,,,,194.0500030517578,198.8699951171875,184.5399932861328,188.4199981689453,243869700.0,,,,,,,,,,
2024-04-30,,,,,,TSLA,-0.05550118063944742,165.36699905395508,,,,,,183.27999877929688,190.9499969482422,182.83999633789062,186.97999572753906,127031800.0,,,,,,,,,,
2024-05-01,,,,,,TSLA,-0.017950640048260635,165.94749908447267,,,,,,179.99000549316406,185.86000061035156,179.00999450683594,182.0,92829700.0,,,,,,,,,,
2024-05-02,,,,,,TSLA,0.0001110562423569661,166.3924987792969,,,,,,180.00999450683594,184.60000610351562,176.02000427246094,182.86000061035156,89148000.0,,,,,,,,,,
2024-05-03,,,,,,TSLA,0.006555235656792835,167.20699920654297,,,,,,181.19000244140625,184.77999877929688,178.4199981689453,182.10000610351562,75491500.0,,,,,,,,,,
2024-05-06,,,,,,TSLA,0.019703030064167848,167.7959991455078,,,,,,184.75999450683594,187.55999755859375,182.1999969482422,183.8000030517578,84390300.0,,,,,,,,,,
2024-05-07,,,,,,TSLA,-0.03761635178001177,167.84249877929688,,,,,,177.80999755859375,183.25999450683594,177.39999389648438,182.39999389648438,75045900.0,,,,,,,,,,
2024-05-08,,,,,,TSLA,-0.017378079862311324,167.99049911499023,,,,,,174.72000122070312,176.05999755859375,170.14999389648438,171.58999633789062,79969500.0,,,,,,,,,,
2024-05-09,,,,,,TSLA,-0.01573946875450305,167.8589988708496,,,,,,171.97000122070312,175.6199951171875,171.3699951171875,175.00999450683594,65950300.0,,,,,,,,,,
2024-05-10,,,,,,TSLA,-0.02035238689978358,167.72999877929686,,,,,,168.47000122070312,173.05999755859375,167.75,173.0500030517578,72627200.0,,,,,,,,,,
2024-05-13,,,,,,TSLA,0.020300339194899042,168.25049896240233,,,,,,171.88999938964844,175.39999389648438,169.0,170.0,67018900.0,,,,,,,,,,
2024-05-14,,,,,,TSLA,0.03292805679333921,169.27249908447266,,,,,,177.5500030517578,179.49000549316406,174.07000732421875,174.5,86407400.0,,,,,,,,,,
2024-05-15,,,,,,TSLA,-0.02005067585133169,170.19949951171876,,,,,,173.99000549316406,180.0,173.11000061035156,179.89999389648438,79663000.0,,,,,,,,,,
2024-05-16,,,,,,TSLA,0.004885285464054867,171.44499969482422,,,,,,174.83999633789062,175.7899932861328,171.42999267578125,174.10000610351562,59812200.0,,,,,,,,,,
2024-05-17,,,,,,TSLA,0.014985188920464187,172.9654998779297,,,,,,177.4600067138672,179.6300048828125,172.75,173.5500030517578,77445800.0,,,,,,,,,,
2024-05-20,,,,,,TSLA,-0.014144086952910362,174.6104995727539,,,,,,174.9499969482422,177.75,173.52000427246094,177.55999755859375,61727400.0,,,,,,,,,,
2024-05-21,,,,,,TSLA,0.06659050790792542,176.7065002441406,,,,,,186.60000610351562,186.8800048828125,174.7100067138672,175.50999450683594,115266500.0,,,,,,,,,,
2024-05-22,,,,,,TSLA,-0.03478030697150003,177.6055000305176,,,,,,180.11000061035156,183.8000030517578,178.1199951171875,182.85000610351562,88313500.0,,,,,,,,,,
2024-05-23,,,,,,TSLA,-0.03536724832380789,177.78350067138672,,,,,,173.74000549316406,181.89999389648438,173.25999450683594,181.8000030517578,71975500.0,,,,,,,,,,
2024-05-24,,,,,,TSLA,0.03165649721483632,178.33100128173828,,,,,,179.24000549316406,180.0800018310547,173.72999572753906,174.83999633789062,65584500.0,,,,,,,,,,
2024-05-28,,,,,,TSLA,-0.01389201861667555,177.46600112915038,,,,,,176.75,178.25,173.16000366210938,176.39999389648438,59736600.0,,,,,,,,,,
2024-05-29,,,,,,TSLA,-0.0031683030189180172,177.11150131225585,,,,,,176.19000244140625,178.14999389648438,173.92999267578125,174.19000244140625,54782600.0,,,,,,,,,,
2024-05-30,,,,,,TSLA,0.014756744473008343,177.0515007019043,,,,,,178.7899932861328,182.6699981689453,175.3800048828125,178.5800018310547,77618400.0,,,,,,,,,,
2024-05-31,,,,,,TSLA,-0.003971091681523098,176.95500106811522,,,,,,178.0800018310547,180.32000732421875,173.82000732421875,178.5,67314600.0,,,,,,,,,,
2024-06-03,,,,,,TSLA,-0.0100517100545634,176.71000061035156,,,,,,176.2899932861328,182.63999938964844,174.49000549316406,178.1300048828125,68568900.0,,,,,,,,,,
2024-06-04,,,,,,TSLA,-0.008622094682395387,176.21050109863282,,,,,,174.77000427246094,177.75999450683594,174.0,174.77999877929688,60056300.0,,,,,,,,,,
2024-06-05,,,,,,TSLA,0.0013159908560766986,176.07000122070312,,,,,,175.0,176.14999389648438,172.1300048828125,175.35000610351562,57953800.0,,,,,,,,,,
2024-06-06,,,,,,TSLA,0.01680001395089281,176.2310012817383,,,,,,177.94000244140625,179.72999572753906,172.72999572753906,174.60000610351562,69887000.0,,,,,,,,,,
2024-06-07,,,,,,TSLA,-0.0025851787543875737,176.5065010070801,,,,,,177.47999572753906,179.35000610351562,175.5800018310547,176.1300048828125,56244900.0,,,,,,,,,,
2024-06-10,,,,,,TSLA,-0.020791089307163446,176.77250061035156,,,,,,173.7899932861328,178.57000732421875,173.1699981689453,176.05999755859375,50774600.0,,,,,,,,,,
2024-06-11,,,,,,TSLA,-0.018010183238054034,176.71100082397462,,,,,,170.66000366210938,174.75,167.41000366210938,173.9199981689453,64761900.0,,,,,,,,,,
2024-06-12,,,,,,TSLA,0.03884911216309472,176.69800033569337,,,,,,177.2899932861328,180.5500030517578,169.8000030517578,171.1199951171875,90389400.0,,,,,,,,,,
2024-06-13,,,,,,TSLA,0.029217711832219218,177.12200012207032,,,,,,182.47000122070312,191.0800018310547,181.22999572753906,188.38999938964844,118984100.0,,,,,,,,,,
2024-06-14,,,,,,TSLA,-0.024442410719736185,177.28050003051757,,,,,,178.00999450683594,186.0,176.9199981689453,185.8000030517578,82038200.0,,,,,,,,,,
2024-06-17,,,,,,TSLA,0.052974598199923895,177.77949981689454,,,,,,187.44000244140625,188.80999755859375,177.0,177.9199981689453,109786100.0,,,,,,,,,,
2024-06-18,,,,,,TSLA,-0.013764414198944475,178.275,,,,,,184.86000061035156,187.1999969482422,182.3699951171875,186.55999755859375,68982300.0,,,,,,,,,,
2024-06-20,,,,,,TSLA,-0.017797215597047833,178.02350006103515,,,,,,181.57000732421875,185.2100067138672,179.66000366210938,184.67999267578125,55893100.0,,,,,,,,,,
2024-06-21,,,,,,TSLA,0.00793075466503601,178.1684997558594,,,,,,183.00999450683594,183.9499969482422,180.69000244140625,182.3000030517578,61937300.0,,,,,,,,,,
2024-06-24,,,,,,TSLA,-0.0023495584322592578,178.6104995727539,,,,,,182.5800018310547,188.8000030517578,182.5500030517578,184.97000122070312,61992100.0,,,,,,,,,,
2024-06-25,,,,,,TSLA,0.026125557150967316,179.0159996032715,,,,,,187.35000610351562,187.97000122070312,182.00999450683594,184.39999389648438,62905700.0,,,,,,,,,,
2024-06-26,,,,,,TSLA,0.04814512260377568,179.99699935913085,,,,,,196.3699951171875,197.75999450683594,186.36000061035156,186.5399932861328,95737100.0,,,,,,,,,,
2024-06-27,,,,,,TSLA,0.0053470646120412635,181.05849914550782,,,,,,197.4199981689453,198.72000122070312,194.0500030517578,195.1699981689453,72746500.0,,,,,,,,,,
2024-06-28,,,,,,TSLA,0.002330091774560339,182.01299972534179,,,,,,197.8800048828125,203.1999969482422,195.25999450683594,199.5500030517578,95438100.0,,,,,,,,,,
2024-07-01,,,,,,TSLA,0.060541719385108106,183.60199966430665,,,,,,209.86000061035156,213.22999572753906,200.85000610351562,201.02000427246094,135691400.0,,,,,,,,,,
2024-07-02,,,,,,TSLA,0.10197271435359379,186.3504997253418,,,,,,231.25999450683594,231.3000030517578,218.05999755859375,218.88999938964844,205047900.0,,,,,,,,,,
2024-07-03,,,,,,TSLA,0.06542422054051067,189.93149948120117,,,,,,246.38999938964844,248.35000610351562,234.25,234.55999755859375,166561500.0,,,,,,,,,,
2024-07-05,,,,,,TSLA,0.02082067005771515,193.75749969482422,,,,,,251.52000427246094,252.3699951171875,242.4600067138672,249.80999755859375,154501200.0,,,,,,,,,,
2024-07-08,,,,,,TSLA,0.005645666924397386,197.50749969482422,,,,,,252.94000244140625,259.44000244140625,244.57000732421875,247.7100067138672,157219600.0,,,,,,,,,,
2024-07-09,,,,,,TSLA,0.03712336538398886,201.74999923706054,,,,,,262.3299865722656,265.6099853515625,250.3000030517578,251.0,160210900.0,,,,,,,,,,
2024-07-10,,,,,,TSLA,0.003545241645880992,206.22350006103517,,,,,,263.260009765625,267.5899963378906,257.8599853515625,262.79998779296875,128519400.0,,,,,,,,,,
2024-07-11,,,,,,TSLA,-0.08444127539962887,209.74199981689452,,,,,,241.02999877929688,271.0,239.64999389648438,263.29998779296875,221707300.0,,,,,,,,,,
2024-07-12,,,,,,TSLA,0.029871787680814776,213.28899993896485,,,,,,248.22999572753906,251.83999633789062,233.08999633789062,235.8000030517578,155955800.0,,,,,,,,,,
2024-07-15,,,,,,TSLA,0.01776579679334911,216.7974998474121,,,,,,252.63999938964844,265.6000061035156,251.72999572753906,255.97000122070312,146912900.0,,,,,,,,,,
2024-07-16,,,,,,TSLA,0.015516142251486675,220.725,,,,,,256.55999755859375,258.6199951171875,245.8000030517578,255.30999755859375,126332500.0,,,,,,,,,,
2024-07-17,,,,,,TSLA,-0.031415644041518975,223.7779998779297,,,,,,248.5,258.4700012207031,246.17999267578125,252.72999572753906,115584800.0,,,,,,,,,,
2024-07-18,,,,,,TSLA,0.002937608561525362,226.99649963378906,,,,,,249.22999572753906,257.1400146484375,247.1999969482422,251.08999633789062,110869000.0,,,,,,,,,,
2024-07-19,,,,,,TSLA,-0.040243947162209914,229.87799911499025,,,,,,239.1999969482422,249.44000244140625,236.8300018310547,247.7899932861328,87403900.0,,,,,,,,,,
2024-07-22,,,,,,TSLA,0.05146320115237035,233.30299911499023,,,,,,251.50999450683594,253.2100067138672,243.75,244.2100067138672,101225400.0,,,,,,,,,,
2024-07-23,,,,,,TSLA,-0.020396762498772203,236.4929992675781,,,,,,246.3800048828125,255.75999450683594,245.6300048828125,253.60000610351562,111928200.0,,,,,,,,,,
2024-07-24,,,,,,TSLA,-0.12334604589403697,237.92499923706055,,,,,,215.99000549316406,225.99000549316406,214.7100067138672,225.4199981689453,167942900.0,,,,,,,,,,
2024-07-25,,,,,,TSLA,0.01972310939623889,239.11899948120117,,,,,,220.25,226.0,216.22999572753906,216.8000030517578,100636500.0,,,,,,,,,,
2024-07-26,,,,,,TSLA,-0.0020431189477511102,240.2379997253418,,,,,,219.8000030517578,222.27999877929688,215.3300018310547,221.19000244140625,94604100.0,,,,,,,,,,
2024-07-29,,,,,,TSLA,0.055959976710561854,241.94899978637696,,,,,,232.10000610351562,234.27000427246094,224.6999969482422,224.89999389648438,129201800.0,,,,,,,,,,
2024-07-30,,,,,,TSLA,-0.04084450985365373,242.58699951171874,,,,,,222.6199951171875,232.41000366210938,220.0,232.25,100560300.0,,,,,,,,,,
